system,code,display,priority,evidence
http://hl7.org/fhir/sid/icd-10-cm,A20.1,Cellulocutaneous plague,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A20.2,Pneumonic plague,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A20.3,Plague meningitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A20.7,Septicemic plague,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A20.8,Other forms of plague,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A20.9,"Plague, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A21,Tularemia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A21.0,Ulceroglandular tularemia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A21.1,Oculoglandular tularemia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A21.2,Pulmonary tularemia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A21.3,Gastrointestinal tularemia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A21.7,Generalized tularemia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A21.8,Other forms of tularemia,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A21.9,"Tularemia, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A22,Anthrax,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A22.0,Cutaneous anthrax,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A22.1,Pulmonary anthrax,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A22.2,Gastrointestinal anthrax,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A22.7,Anthrax sepsis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A22.8,Other forms of anthrax,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A22.9,"Anthrax, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A23,Brucellosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A23.0,Brucellosis due to Brucella melitensis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A23.1,Brucellosis due to Brucella abortus,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A23.2,Brucellosis due to Brucella suis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A23.3,Brucellosis due to Brucella canis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A23.8,Other brucellosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A23.9,"Brucellosis, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A24,Glanders and melioidosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A24.0,Glanders,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A24.1,Acute and fulminating melioidosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A24.2,Subacute and chronic melioidosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A24.3,Other melioidosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A24.9,"Melioidosis, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A25,Rat-bite fevers,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A25.0,Spirillosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A25.1,Streptobacillosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A25.9,"Rat-bite fever, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A26,Erysipeloid,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A26.0,Cutaneous erysipeloid,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A26.7,Erysipelothrix sepsis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A26.8,Other forms of erysipeloid,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A26.9,"Erysipeloid, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A27,Leptospirosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A27.0,Leptospirosis icterohemorrhagica,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A27.8,Other forms of leptospirosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A27.81,Aseptic meningitis in leptospirosis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A27.89,Other forms of leptospirosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A27.9,"Leptospirosis, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A28,"Other zoonotic bacterial diseases, not elsewhere classified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A28.0,Pasteurellosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A28.1,Cat-scratch disease,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A28.2,Extraintestinal yersiniosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A28.9,"Zoonotic bacterial disease, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A30,Leprosy [Hansens disease],medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A30.0,Indeterminate leprosy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A30.1,Tuberculoid leprosy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A30.2,Borderline tuberculoid leprosy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A30.3,Borderline leprosy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A30.4,Borderline lepromatous leprosy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A30.5,Lepromatous leprosy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A30.8,Other forms of leprosy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A30.9,"Leprosy, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A31,Infection due to other mycobacteria,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A31.0,Pulmonary mycobacterial infection,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A31.1,Cutaneous mycobacterial infection,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A31.2,Disseminated mycobacterium avium-intracellulare complex (DMAC),medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A31.8,Other mycobacterial infections,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A31.9,"Mycobacterial infection, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A32,Listeriosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A32.0,Cutaneous listeriosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A32.1,Listerial meningitis and meningoencephalitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A32.11,Listerial meningitis,high,confirmed
