system,code,display,priority,evidence
http://loinc.org,70061-7,Human papilloma virus 16 and 18 DNA [Presence] in Specimen by NAA with probe detection,low,confirmed
http://loinc.org,75696-5,Human papilloma virus 31+33+35+39+45+51+52+56+58+59+66+68 DNA [Presence] in Anorectal specimen by Probe and signal amplification method,low,confirmed
http://loinc.org,75664-3,Human papilloma virus 16 DNA [Presence] in Anorectal specimen by Probe and signal amplification method,low,confirmed
http://loinc.org,59263-4,Human papilloma virus 16 DNA [Presence] in Cervix by Probe with signal amplification,low,confirmed
http://loinc.org,82456-5,Human papilloma virus 16 E6+E7 mRNA [Presence] in Cervix by NAA with probe detection,low,confirmed
http://loinc.org,93778-9,Human papilloma virus 6+11 E6+E7 mRNA [Presence] in Tissue by Probe,low,confirmed
http://loinc.org,95539-3,Human papilloma virus 31 DNA [Presence] in Cervix by NAA with probe detection,low,confirmed
http://loinc.org,95538-5,Human papilloma virus 33+58 DNA [Presence] in Cervix by NAA with probe detection,low,confirmed
http://loinc.org,95537-7,Human papilloma virus 35+39+68 DNA [Presence] in Cervix by NAA with probe detection,low,confirmed
http://loinc.org,95536-9,Human papilloma virus 45 DNA [Presence] in Cervix by NAA with probe detection,low,confirmed
http://loinc.org,95535-1,Human papilloma virus 51 DNA [Presence] in Cervix by NAA with probe detection,low,confirmed
http://loinc.org,95534-4,Human papilloma virus 52 DNA [Presence] in Cervix by NAA with probe detection,low,confirmed
http://loinc.org,95533-6,Human papilloma virus 56+59+66 DNA [Presence] in Cervix by NAA with probe detection,low,confirmed
