"system","code","display","include","likely","preop","transplant","rejection","failure","outcome","lab","imaging"
"http://snomed.info/sct","197747000","Renal tubulo-interstitial disorders in transplant rejection","false",,,,,,"true",,
"http://snomed.info/sct","419224002","Angioplasty of renal transplant using fluoroscopic guidance with contrast","false",,,,,,"true",,
"http://snomed.info/sct","426136000","Delayed kidney graft function","false",,,,,,"true",,
"http://snomed.info/sct","433802006","Fluoroscopic angiography of transplanted renal artery using contrast with insertion of stent","false",,,,,,"true",,
"http://snomed.info/sct","1144941009","Chronic tubulointerstitial nephritis following renal transplantation","false",,,,,,"true",,
"http://snomed.info/sct","234046009","Transplant renal vein thrombosis","false",,,,,,"true",,
"http://snomed.info/sct","236570004","Renal transplant rejection","false",,,,"true",,,,
"http://snomed.info/sct","236571000","Hyperacute rejection of renal transplant","false",,,,"true",,,,
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00Z2","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Right @ Open @ No Device @ Zooplastic","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","B40M1ZZ","Plain Radiography of Renal Artery Transplant using Low Osmolar Contrast","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT290Z","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ High Osmolar @ None","true",,,,,,,,"true"
"http://snomed.info/sct","23137002","Anaesthesia for renal transplant, recipient","true",,"true",,,,,,
"http://snomed.info/sct","70536003","Transplant of kidney (procedure)","true",,,"true",,,,,
"http://www.ama-assn.org/go/cpt","50323","Preparation of donor kidney for transplantation","true",,"true",,,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","0TY10","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Left @ Open","true",,,"true",,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","B40M","Imaging @ Lower Arteries @ Plain Radiography @ Renal Artery Transplant","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","B40M1","Imaging @ Lower Arteries @ Plain Radiography @ Renal Artery Transplant @ Low Osmolar","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","B42M1ZZ","Computerized Tomography (CT Scan) of Renal Artery Transplant using Low Osmolar Contrast","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT29Y","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ Other Contrast","true",,,,,,,,"true"
"http://snomed.info/sct","1333888002","Antegrade insertion of stent into left ureter of transplanted kidney using fluoroscopic guidance","true",,,"true",,,,,
"http://snomed.info/sct","175901007","Live donor renal transplant (procedure)","true",,,"true",,,,,
