system,code,display,priority
http://www.nlm.nih.gov/research/umls/rxnorm,364008,predniSONE Oral Solution [Liquid Pred],high
http://www.nlm.nih.gov/research/umls/rxnorm,582602,predniSONE Oral Solution [predniSONE Intensol],high
http://www.nlm.nih.gov/research/umls/rxnorm,373585,predniSONE Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,380828,predniSONE Oral Tablet [Decortisyl],high
http://www.nlm.nih.gov/research/umls/rxnorm,92354,predniSONE Oral Tablet [Deltasone],high
http://www.nlm.nih.gov/research/umls/rxnorm,380827,predniSONE Oral Tablet [Econosone],high
http://www.nlm.nih.gov/research/umls/rxnorm,368867,predniSONE Oral Tablet [Meticorten],high
http://www.nlm.nih.gov/research/umls/rxnorm,368790,predniSONE Oral Tablet [Orasone],high
http://www.nlm.nih.gov/research/umls/rxnorm,368813,predniSONE Oral Tablet [Prednicen-M],high
http://www.nlm.nih.gov/research/umls/rxnorm,368654,predniSONE Oral Tablet [Prednicot],high
http://www.nlm.nih.gov/research/umls/rxnorm,541814,predniSONE Oral Tablet [Predone],high
http://www.nlm.nih.gov/research/umls/rxnorm,368806,predniSONE Oral Tablet [Sterapred DS],high
http://www.nlm.nih.gov/research/umls/rxnorm,368812,predniSONE Oral Tablet [Sterapred],high
http://www.nlm.nih.gov/research/umls/rxnorm,1161706,predniSONE Pill,high
http://www.nlm.nih.gov/research/umls/rxnorm,795854,{12 (predniSONE 5 MG Oral Tablet) } Pack,high
http://www.nlm.nih.gov/research/umls/rxnorm,763185,{21 (predniSONE 10 MG Oral Tablet) } Pack,high
http://www.nlm.nih.gov/research/umls/rxnorm,834395,{25 (predniSONE 10 MG Oral Tablet) } Pack,high
http://www.nlm.nih.gov/research/umls/rxnorm,763183,{48 (predniSONE 10 MG Oral Tablet) } Pack,high
http://www.nlm.nih.gov/research/umls/rxnorm,763179,{48 (predniSONE 5 MG Oral Tablet) } Pack,high
http://www.nlm.nih.gov/research/umls/rxnorm,795860,{6 (predniSONE 10 MG Oral Tablet) } Pack,high
http://www.nlm.nih.gov/research/umls/rxnorm,795856,{6 (predniSONE 5 MG Oral Tablet) } Pack,high
